"","year","month","ipcc_date","ipcc_wwg","ipcc_report","source","commentaire"
"1",1990,NA,NA,NA,NA,NA,NA
"2",1995,NA,NA,NA,NA,NA,NA
"3",2001,NA,NA,NA,NA,NA,NA
"4",2007,2007-02-01,2007-02-02,"WG1","AR4",NA,"Réunion du 29 janvier au 2 février à Paris d'après article du monde"
"5",2007,2007-04-01,2007-04-06,"WG2","AR4","Article Libé : Environnement . Les scientifiques de l'ONU ont rendu public , hier,le deuxième chapitre de leur rapport alarmant sur l'impact du réchauffement.
",NA
"6",2007,2007-05-01,2007-05-04,"WG3","AR4",NA,"Réunion des experts à Bangkok"
"7",2013,NA,2013-09-27,"WG1","AR5",NA,NA
"8",2014,NA,2014-03-31,"WG2","AR5",NA,NA
"9",2014,NA,2014-04-14,"WG3","AR5",NA,NA
"10",2014,NA,2014-11-02,"Synthèse","AR5",NA,NA
"11",2021,2021-08-01,2021-08-09,"WG1","AR6","https://www.ipcc.ch/assessment-report/ar6/#:~:text=The%20Working%20Group%20I%20contribution,released%20on%2020%20March%202023.",NA
"12",2022,2022-02-01,2022-02-28,"WG2","AR6","https://www.ipcc.ch/assessment-report/ar6/#:~:text=The%20Working%20Group%20I%20contribution,released%20on%2020%20March%202023.",NA
"13",2022,2022-04-01,2022-04-04,"WG3","AR6","https://www.ipcc.ch/assessment-report/ar6/#:~:text=The%20Working%20Group%20I%20contribution,released%20on%2020%20March%202023.",NA
"14",2023,2023-03-01,2023-03-20,"Synthesis","AR6","https://www.ipcc.ch/assessment-report/ar6/#:~:text=The%20Working%20Group%20I%20contribution,released%20on%2020%20March%202023.",NA
